Matchname,Half,Time,EventName,Player1Name,Player1ClubName,Player2Name,Player2Clubname,XPosOrigin,YPosOrigin,XPosDest,YPosDest,Rotation,Zone,PossRegain,PossLoss,PossWon
Chicago Fire v Colorado Rapids,First Half,0.000,Start Of Half,Dillon POWERS,Colorado Rapids,,,0.00,0.00,0.00,-1.00,180,Zone 46,4,3,4
Chicago Fire v Colorado Rapids,First Half,0.500,Pass,Kevin DOYLE,Colorado Rapids,,,0.00,-1.00,11.00,0.00,180,Zone 48,4,5,4
Chicago Fire v Colorado Rapids,First Half,1.500,Touch,Marcelo SARVAS,Colorado Rapids,,,11.00,0.00,11.00,1.00,180,Zone 53,7,10,7
Chicago Fire v Colorado Rapids,First Half,2.000,Pass,Marcelo SARVAS,Colorado Rapids,,,11.00,1.00,25.00,15.00,180,Zone 53,7,10,7
Chicago Fire v Colorado Rapids,First Half,4.300,Touch,Maynor FIGUEROA,Colorado Rapids,,,25.00,15.00,23.00,15.00,180,Zone 62,15,18,15
Chicago Fire v Colorado Rapids,First Half,6.000,Pass,Maynor FIGUEROA,Colorado Rapids,,,23.00,15.00,-26.00,20.00,180,Zone 61,15,18,15
Chicago Fire v Colorado Rapids,First Half,8.500,Header,Matt POLSTER,Chicago Fire,Dillon POWERS,Colorado Rapids,-26.00,20.00,-18.00,17.00,0,Zone 98,12,13,12
Chicago Fire v Colorado Rapids,First Half,9.100,Touch,Michael STEPHENS,Chicago Fire,,,-18.00,17.00,-18.00,15.00,0,Zone 97,9,6,9
Chicago Fire v Colorado Rapids,First Half,10.300,Pass,Michael STEPHENS,Chicago Fire,,,-18.00,15.00,-4.00,-8.00,0,Zone 97,9,6,9
Chicago Fire v Colorado Rapids,First Half,11.800,Touch,David ACCAM,Chicago Fire,,,-4.00,-8.00,-5.00,-7.00,0,Zone 53,4,16,4
Chicago Fire v Colorado Rapids,First Half,12.400,Touch,David ACCAM,Chicago Fire,,,-5.00,-7.00,-1.00,-2.00,0,Zone 53,4,16,4
Chicago Fire v Colorado Rapids,First Half,12.600,Foul,David ACCAM,Chicago Fire,Gabriel TORRES,Colorado Rapids,-1.00,-2.00,-1.00,-2.00,0,Zone 53,4,16,4
Chicago Fire v Colorado Rapids,First Half,27.100,Direct Free Kick Pass,Michael STEPHENS,Chicago Fire,,,-1.00,-2.00,-2.00,-28.00,0,Zone 53,9,6,9
Chicago Fire v Colorado Rapids,First Half,28.600,Touch,Joevin JONES,Chicago Fire,,,-2.00,-28.00,-3.00,-29.00,0,Zone 51,7,12,7
Chicago Fire v Colorado Rapids,First Half,29.900,Pass,Joevin JONES,Chicago Fire,,,-3.00,-29.00,-13.00,-18.00,0,Zone 51,7,12,7
Chicago Fire v Colorado Rapids,First Half,31.000,Touch,Jeff LARENTOWICZ,Chicago Fire,,,-13.00,-18.00,-12.00,-18.00,0,Zone 52,8,9,8
Chicago Fire v Colorado Rapids,First Half,32.100,Touch,Jeff LARENTOWICZ,Chicago Fire,,,-12.00,-18.00,-11.00,-21.00,0,Zone 52,8,9,8
Chicago Fire v Colorado Rapids,First Half,33.500,Pass,Jeff LARENTOWICZ,Chicago Fire,,,-11.00,-21.00,14.00,-20.00,0,Zone 51,8,9,8
Chicago Fire v Colorado Rapids,First Half,35.400,Touch,Kennedy IGBOANANIKE,Chicago Fire,,,14.00,-20.00,10.00,-20.00,0,Zone 43,0,9,0
Chicago Fire v Colorado Rapids,First Half,36.100,Touch,Nick LABROCCA,Colorado Rapids,,,10.00,-20.00,12.00,-21.00,180,Zone 57,8,6,8
Chicago Fire v Colorado Rapids,First Half,36.300,Touch,Nick LABROCCA,Colorado Rapids,,,12.00,-21.00,9.00,-21.00,180,Zone 58,8,6,8
Chicago Fire v Colorado Rapids,First Half,38.000,Pass,Nick LABROCCA,Colorado Rapids,,,9.00,-21.00,6.00,-29.00,180,Zone 57,8,6,8
Chicago Fire v Colorado Rapids,First Half,39.100,Pass,Gabriel TORRES,Colorado Rapids,,,6.00,-29.00,-1.00,-20.00,180,Zone 57,5,11,5
Chicago Fire v Colorado Rapids,First Half,39.700,Touch,Kevin DOYLE,Colorado Rapids,,,-1.00,-20.00,-1.00,-21.00,180,Zone 50,4,5,4
Chicago Fire v Colorado Rapids,First Half,40.500,Touch,Kevin DOYLE,Colorado Rapids,Jeff LARENTOWICZ,Chicago Fire,-1.00,-21.00,-1.00,-31.00,180,Zone 50,4,5,4
Chicago Fire v Colorado Rapids,First Half,42.200,Pass,Kevin DOYLE,Colorado Rapids,,,-1.00,-31.00,-27.00,-25.00,180,Zone 50,4,5,4
Chicago Fire v Colorado Rapids,First Half,45.100,Touch,Gabriel TORRES,Colorado Rapids,,,-27.00,-25.00,-39.00,-19.00,180,Zone 41,5,11,5
Chicago Fire v Colorado Rapids,First Half,46.300,Cross,Gabriel TORRES,Colorado Rapids,,,-39.00,-19.00,-45.00,3.00,180,Zone 29,5,11,5
Chicago Fire v Colorado Rapids,First Half,48.000,Shot,Dillon SERNA,Colorado Rapids,,,-45.00,3.00,-5.00,0.00,180,Zone 17,5,11,5
Chicago Fire v Colorado Rapids,First Half,48.400,Goal,Dillon SERNA,Colorado Rapids,,,-5.00,0.00,0.00,1.00,180,Zone 46,5,11,5
Chicago Fire v Colorado Rapids,First Half,94.800,Kick Off,Kennedy IGBOANANIKE,Chicago Fire,,,0.00,1.00,0.00,0.00,0,Zone 55,0,9,0
Chicago Fire v Colorado Rapids,First Half,95.000,Pass,Harrison SHIPP,Chicago Fire,,,0.00,0.00,-8.00,0.00,0,Zone 55,3,8,2
Chicago Fire v Colorado Rapids,First Half,96.000,Touch,Michael STEPHENS,Chicago Fire,,,-8.00,0.00,-8.00,0.00,0,Zone 55,9,6,9
Chicago Fire v Colorado Rapids,First Half,96.400,Touch,Michael STEPHENS,Chicago Fire,,,-8.00,0.00,-9.00,0.00,0,Zone 55,9,6,9
Chicago Fire v Colorado Rapids,First Half,97.200,Touch,Michael STEPHENS,Chicago Fire,Kevin DOYLE,Colorado Rapids,-9.00,0.00,-7.00,1.00,0,Zone 55,9,6,9
Chicago Fire v Colorado Rapids,First Half,98.000,Touch,Michael STEPHENS,Chicago Fire,,,-7.00,1.00,-3.00,0.00,0,Zone 55,9,6,9
Chicago Fire v Colorado Rapids,First Half,98.400,Touch,Michael STEPHENS,Chicago Fire,,,-3.00,0.00,-3.00,0.00,0,Zone 55,9,6,9
Chicago Fire v Colorado Rapids,First Half,99.800,Dribble,Michael STEPHENS,Chicago Fire,,,-8.00,0.00,2.00,5.00,0,Zone 55,9,6,9
Chicago Fire v Colorado Rapids,First Half,99.900,Pass,Michael STEPHENS,Chicago Fire,,,2.00,5.00,5.00,-25.00,0,Zone 48,9,6,9
Chicago Fire v Colorado Rapids,First Half,101.900,Touch,David ACCAM,Chicago Fire,,,5.00,-25.00,4.00,-24.00,0,Zone 44,4,16,4
Chicago Fire v Colorado Rapids,First Half,103.200,Touch,David ACCAM,Chicago Fire,,,4.00,-24.00,4.00,-21.00,0,Zone 44,4,16,4
Chicago Fire v Colorado Rapids,First Half,103.800,Pass,David ACCAM,Chicago Fire,,,4.00,-21.00,-1.00,-18.00,0,Zone 44,4,16,4
Chicago Fire v Colorado Rapids,First Half,105.000,Pass,Matt WATSON,Chicago Fire,,,-1.00,-18.00,-4.00,-26.00,0,Zone 51,8,10,8
Chicago Fire v Colorado Rapids,First Half,106.500,Pass,Joevin JONES,Chicago Fire,,,-4.00,-26.00,-20.00,-18.00,0,Zone 51,7,12,7
Chicago Fire v Colorado Rapids,First Half,108.400,Pass,Matt WATSON,Chicago Fire,,,-20.00,-18.00,21.00,1.00,0,Zone 61,8,10,8
Chicago Fire v Colorado Rapids,First Half,110.600,Header,Maynor FIGUEROA,Colorado Rapids,,,21.00,1.00,-2.00,-11.00,180,Zone 88,15,18,15
Chicago Fire v Colorado Rapids,First Half,112.600,Pass,Dillon POWERS,Colorado Rapids,,,-2.00,-11.00,-9.00,-1.00,180,Zone 48,4,3,4
Chicago Fire v Colorado Rapids,First Half,113.700,Touch,Kevin DOYLE,Colorado Rapids,,,-9.00,-1.00,-9.00,-1.00,180,Zone 48,4,5,4
Chicago Fire v Colorado Rapids,First Half,114.900,Pass,Kevin DOYLE,Colorado Rapids,,,-9.00,-1.00,-3.00,-11.00,180,Zone 48,4,5,4
Chicago Fire v Colorado Rapids,First Half,115.700,Touch,Marcelo SARVAS,Colorado Rapids,,,-3.00,-11.00,-9.00,-10.00,180,Zone 48,7,10,7
Chicago Fire v Colorado Rapids,First Half,116.800,Tackle,Marcelo SARVAS,Colorado Rapids,Matt WATSON,Chicago Fire,-9.00,-10.00,-6.00,-11.00,180,Zone 48,7,10,7
Chicago Fire v Colorado Rapids,First Half,116.900,Block,Marcelo SARVAS,Colorado Rapids,,,-6.00,-11.00,-9.00,-31.00,180,Zone 48,7,10,7
Chicago Fire v Colorado Rapids,First Half,118.300,Header,Gabriel TORRES,Colorado Rapids,,,-9.00,-31.00,-38.00,-6.00,180,Zone 50,5,11,5
Chicago Fire v Colorado Rapids,First Half,122.500,Touch,Eric GEHRIG,Chicago Fire,,,-38.00,-6.00,-47.00,-19.00,0,Zone 70,10,8,10
Chicago Fire v Colorado Rapids,First Half,124.900,Touch,Eric GEHRIG,Chicago Fire,,,-47.00,-19.00,-46.00,-27.00,0,Zone 65,10,8,10
Chicago Fire v Colorado Rapids,First Half,127.600,Clearance,Eric GEHRIG,Chicago Fire,,,-46.00,-27.00,-43.00,-28.00,0,Zone 60,10,8,10
Chicago Fire v Colorado Rapids,First Half,127.700,Block,Gabriel TORRES,Colorado Rapids,,,-43.00,-28.00,-32.00,-34.00,180,Zone 42,5,11,5
Chicago Fire v Colorado Rapids,First Half,138.600,Throw In,Joevin JONES,Chicago Fire,,,-32.00,-34.00,-22.00,-27.00,0,Zone 59,7,12,7
