Date,Team1_swID,Team1,Team1_Location,Team1_Score,Team2_swID,Team2,Team2_Location,Team2_Score
3/6/15,14,Los Angeles Galaxy,H,2,1,Chicago Fire,A,0
3/7/15,9,Philadelphia Union,H,0,11,Colorado Rapids,A,0
3/7/15,13,Houston Dynamo,H,1,2,Columbus Crew SC,A,0
3/7/15,3,D.C. United,H,1,4,Montreal Impact,A,0
3/7/15,12,FC Dallas,H,1,17,San Jose Earthquakes,A,0
3/7/15,15,Portland Timbers,H,0,16,Real Salt Lake,A,0
3/7/15,20,Vancouver Whitecaps FC,H,1,10,Toronto FC,A,3
3/8/15,18,Seattle Sounders FC,H,3,5,New England Revolution,A,0
3/8/15,8,Orlando City SC,H,1,6,New York City FC,A,1
3/8/15,19,Sporting Kansas City,H,1,7,New York Red Bulls,A,1
3/13/15,13,Houston Dynamo,H,0,8,Orlando City SC,A,1
3/14/15,1,Chicago Fire,H,0,20,Vancouver Whitecaps FC,A,1
3/14/15,2,Columbus Crew SC,H,2,10,Toronto FC,A,0
3/14/15,12,FC Dallas,H,3,19,Sporting Kansas City,A,1
3/14/15,16,Real Salt Lake,H,3,9,Philadelphia Union,A,3
3/14/15,18,Seattle Sounders FC,H,2,17,San Jose Earthquakes,A,3
3/15/15,15,Portland Timbers,H,2,14,Los Angeles Galaxy,A,2
3/15/15,6,New York City FC,H,2,5,New England Revolution,A,0
3/21/15,11,Colorado Rapids,H,0,6,New York City FC,A,0
3/21/15,9,Philadelphia Union,H,0,12,FC Dallas,A,2
3/21/15,14,Los Angeles Galaxy,H,1,13,Houston Dynamo,A,1
3/21/15,5,New England Revolution,H,0,4,Montreal Impact,A,0
3/21/15,8,Orlando City SC,H,0,20,Vancouver Whitecaps FC,A,1
3/21/15,19,Sporting Kansas City,H,0,15,Portland Timbers,A,0
3/22/15,17,San Jose Earthquakes,H,2,1,Chicago Fire,A,1
3/22/15,7,New York Red Bulls,H,2,3,D.C. United,A,0
3/28/15,13,Houston Dynamo,H,0,11,Colorado Rapids,A,0
3/28/15,2,Columbus Crew SC,H,1,7,New York Red Bulls,A,2
3/28/15,3,D.C. United,H,1,14,Los Angeles Galaxy,A,0
3/28/15,12,FC Dallas,H,0,18,Seattle Sounders FC,A,0
3/28/15,4,Montreal Impact,H,2,8,Orlando City SC,A,2
3/28/15,5,New England Revolution,H,2,17,San Jose Earthquakes,A,1
3/28/15,6,New York City FC,H,0,19,Sporting Kansas City,A,1
3/28/15,20,Vancouver Whitecaps FC,H,2,15,Portland Timbers,A,1
3/29/15,1,Chicago Fire,H,1,9,Philadelphia Union,A,0
3/29/15,16,Real Salt Lake,H,2,10,Toronto FC,A,1
4/3/15,8,Orlando City SC,H,0,3,D.C. United,A,1
4/4/15,1,Chicago Fire,H,3,10,Toronto FC,A,2
4/4/15,11,Colorado Rapids,H,0,5,New England Revolution,A,2
4/4/15,15,Portland Timbers,H,3,12,FC Dallas,A,1
4/4/15,18,Seattle Sounders FC,H,1,13,Houston Dynamo,A,0
4/4/15,20,Vancouver Whitecaps FC,H,2,14,Los Angeles Galaxy,A,0
4/5/15,19,Sporting Kansas City,H,3,9,Philadelphia Union,A,2
4/5/15,17,San Jose Earthquakes,H,0,16,Real Salt Lake,A,1
4/8/15,20,Vancouver Whitecaps FC,H,2,2,Columbus Crew SC,A,2
4/10/15,12,FC Dallas,H,0,11,Colorado Rapids,A,4
4/11/15,5,New England Revolution,H,0,2,Columbus Crew SC,A,0
4/11/15,3,D.C. United,H,2,7,New York Red Bulls,A,2
4/11/15,13,Houston Dynamo,H,3,4,Montreal Impact,A,0
4/11/15,9,Philadelphia Union,H,2,6,New York City FC,A,1
4/11/15,19,Sporting Kansas City,H,0,16,Real Salt Lake,A,0
4/11/15,17,San Jose Earthquakes,H,1,20,Vancouver Whitecaps FC,A,0
4/12/15,14,Los Angeles Galaxy,H,1,18,Seattle Sounders FC,A,0
4/12/15,15,Portland Timbers,H,0,8,Orlando City SC,A,2
4/16/15,6,New York City FC,H,1,9,Philadelphia Union,A,1
4/17/15,7,New York Red Bulls,H,2,17,San Jose Earthquakes,A,0
